ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
436,14,6.29,5.0,4.43
436,15,14.58,19.07,18.96
436,16,14.17,19.6,17.29
436,17,9.25,10.9,8.19
436,18,19.43,24.05,23.19
436,19,11.02,11.3,10.06
436,20,12.7,14.1,13.48
436,21,12.17,12.3,9.93
436,22,7.4,7.4,6.46
436,23,13.74,14.4,12.59
436,24,18.92,24.95,22.99
437,1,7.06,9.5,6.65
437,2,16.62,18.5,16.36
437,3,9.71,11.8,9.35
437,4,9.15,10.7,9.28
437,5,4.61,6.6,4.9
437,6,8.93,11.0,8.7
437,7,7.93,8.4,7.15
437,8,8.5,12.2,7.82
437,9,5.24,6.6,4.85
437,10,6.28,6.9,6.69
437,11,8.78,10.4,8.39
437,12,13.44,15.5,12.86
437,13,21.83,26.2,20.95
437,14,18.7,22.0,18.23
437,15,11.39,13.1,10.19
437,16,6.48,9.0,5.98
437,17,6.23,8.5,5.61
437,18,5.17,5.6,5.16
437,19,17.55,18.7,16.83
437,20,13.41,16.3,13.47
437,21,7.72,8.3,6.47
437,22,9.48,10.93,9.08
437,23,11.17,13.8,11.47
437,24,12.72,14.9,13.21
413,1,7.31,9.5,6.83
413,2,5.29,5.9,4.43
413,3,9.83,11.8,8.99
413,4,5.41,5.7,5.17
413,5,3.98,4.2,3.63
413,6,8.1,9.24,7.75
413,7,9.26,8.4,7.93
413,8,6.8,7.8,6.1
413,9,5.34,6.6,5.06
413,10,8.13,9.7,7.67
413,11,6.11,6.4,5.4
413,12,4.83,5.1,4.19
413,13,5.61,6.6,5.17
413,14,4.46,6.6,4.31
413,15,3.55,4.9,2.88
413,16,5.24,7.2,4.53
413,17,9.03,10.9,8.11
413,18,5.84,5.6,6.18
413,19,5.53,7.1,4.9
413,20,12.74,15.7,12.58
413,21,7.94,8.3,7.28
413,22,5.88,7.4,6.14
413,23,7.31,8.6,7.37
413,24,4.44,5.7,4.78
414,1,17.09,18.5,14.89
414,2,7.88,9.1,7.44
414,3,18.82,19.32,16.32
414,4,5.25,5.7,5.33
414,5,6.67,8.4,6.92
414,6,5.9,7.4,5.34
414,7,7.43,8.4,6.79
414,8,7.45,7.8,5.86
414,9,5.24,6.6,4.59
414,10,8.86,11.3,8.22
414,11,6.91,6.4,6.16
414,12,6.42,7.5,6.57
414,13,6.95,8.4,6.29
414,14,22.17,26.71,22.84
414,15,5.95,5.92,5.14
414,16,5.78,6.6,4.98
414,17,6.19,8.5,5.25
414,18,6.53,9.0,6.85
414,19,7.53,8.95,6.54
414,20,5.38,6.7,5.26
414,21,9.6,10.7,8.16
414,22,12.64,15.6,12.15
414,23,6.04,6.8,4.95
414,24,5.11,5.14,5.01
438,1,10.93,14.1,11.19
438,2,16.82,22.26,18.72
438,3,9.33,10.65,9.9
438,4,22.55,28.7,23.64
438,5,6.96,8.4,7.66
438,6,9.76,11.6,9.99
438,7,10.76,12.4,11.18
438,8,19.13,23.84,21.65
438,9,15.38,20.2,14.97
438,10,10.27,12.94,10.92
438,11,9.03,9.84,8.19
438,12,12.68,14.9,11.28
438,13,5.82,6.6,5.09
438,14,14.98,20.21,17.06
438,15,7.05,8.1,7.07
438,16,6.33,7.2,5.35
438,17,21.14,25.1,23.05
438,18,9.7,11.4,9.86
438,19,10.43,11.3,10.41
438,20,8.34,9.9,8.12
438,21,7.31,8.3,7.06
438,22,8.37,9.2,7.58
438,23,9.75,11.8,10.32
438,24,4.42,7.5,4.8
439,1,7.11,9.5,6.51
439,2,7.54,9.5,7.13
439,3,7.7,9.4,7.26
439,4,5.06,5.7,4.69
439,5,5.78,6.6,5.53
439,6,7.88,9.0,8.16
439,7,7.45,8.4,6.23
439,8,6.03,7.8,5.43
439,9,5.23,6.6,5.06
439,10,7.45,7.5,6.7
439,11,6.2,6.4,5.39
439,12,6.35,7.5,5.39
439,13,5.59,6.6,5.03
439,14,4.13,5.0,3.61
439,15,7.64,9.9,7.27
439,16,4.0,5.0,3.47
439,17,8.92,10.3,8.29
439,18,6.91,5.6,5.37
439,19,8.09,9.5,8.33
439,20,6.08,6.15,5.41
439,21,7.04,8.3,6.85
439,22,5.54,7.4,5.57
439,23,7.04,8.6,6.85
439,24,8.23,9.1,7.7
415,1,8.07,9.5,7.67
415,2,4.65,5.9,5.08
415,3,16.52,17.44,15.8
415,4,7.52,8.9,7.72
415,5,3.88,4.2,4.14
415,6,7.89,9.8,7.55
415,7,8.25,8.4,7.26
415,8,6.38,7.8,5.63
415,9,5.64,6.6,4.62
415,10,8.76,9.7,8.45
415,11,8.47,10.4,8.81
415,12,4.62,5.1,4.24
415,13,5.73,6.6,5.08
415,14,5.63,6.4,5.82
415,15,19.66,26.49,23.35
415,16,5.26,7.2,5.15
415,17,7.73,8.5,6.97
415,18,5.05,5.6,4.27
415,19,9.91,11.7,8.91
415,20,5.75,6.7,5.84
415,21,6.91,7.74,6.79
415,22,8.99,9.2,7.9
415,23,7.55,8.05,7.48
415,24,8.08,9.1,7.21
416,1,7.12,9.5,6.67
416,2,7.22,9.5,6.41
416,3,8.41,9.4,7.4
416,4,6.73,7.1,6.49
416,5,5.02,6.04,4.44
416,6,7.46,9.2,7.69
416,7,7.75,10.8,6.72
416,8,5.1,8.0,4.74
416,9,5.8,6.6,5.19
416,10,6.31,7.5,5.76
416,11,8.46,10.4,7.8
416,12,10.26,11.3,9.15
416,13,6.7,6.6,5.81
416,14,5.52,6.4,4.93
416,15,6.32,6.9,5.24
416,16,4.42,5.0,3.97
416,17,8.79,8.5,7.59
416,18,5.37,5.6,4.71
416,19,6.36,7.1,5.21
416,20,7.77,8.1,7.52
416,21,7.2,8.3,6.48
416,22,6.31,7.4,5.5
416,23,7.48,8.6,7.31
416,24,4.76,5.14,4.49
418,1,18.57,23.51,21.18
418,2,9.58,10.9,9.43
418,3,11.11,11.8,9.49
418,4,8.5,8.9,7.54
418,5,3.56,4.2,4.16
418,6,7.09,9.2,7.28
418,7,11.05,12.4,10.93
418,8,6.19,4.96,4.73
418,9,9.05,10.0,9.24
418,10,6.36,7.5,6.58
418,11,10.31,10.4,9.14
418,12,11.88,14.22,15.11
418,13,5.6,6.6,5.57
