SubjectNum,TrialNum,Time,X,Z
446,12,394.5467,-2.535202,-2.556076
446,12,394.7689,-2.481067,-2.67117
446,12,394.9911,-2.436474,-2.704757
446,12,395.2133,-2.462877,-2.608519
446,12,395.4356,-2.563829,-2.437597
446,12,395.6578,-2.64105,-2.249421
446,12,395.88,-2.667163,-2.023227
446,12,396.1022,-2.632502,-1.744096
446,12,396.3245,-2.664854,-1.436
446,12,396.5467,-2.736752,-1.13385
446,12,396.7689,-2.773109,-0.8071909
446,12,396.9911,-2.778932,-0.4646749
446,12,397.2133,-2.765577,-0.1153979
446,12,397.4356,-2.73015,0.2184763
446,12,397.6578,-2.623485,0.5060813
446,12,397.88,-2.483726,0.7829634
446,12,398.1022,-2.343894,1.039156
446,12,398.3245,-2.210823,1.276592
446,12,398.5467,-2.077662,1.461433
446,12,398.7689,-1.959803,1.606286
446,12,398.9911,-1.896398,1.718167
446,13,450.3134,-2.861008,-0.03074128
446,13,450.5356,-2.873734,-0.02163173
446,13,450.7578,-2.881571,-0.01775746
446,13,450.98,-2.875472,-0.01886632
446,13,451.2022,-2.845753,-0.03853472
446,13,451.4245,-2.801396,-0.1232005
446,13,451.6467,-2.729465,-0.2836924
446,13,451.8689,-2.628684,-0.4753111
446,13,452.0911,-2.496378,-0.624234
446,13,452.3134,-2.323063,-0.7370056
446,13,452.5356,-2.117778,-0.8268249
446,13,452.7578,-1.879144,-0.9020263
446,13,452.98,-1.628099,-0.9881213
446,13,453.2022,-1.391301,-1.032486
446,13,453.4245,-1.11693,-1.03429
446,13,453.6467,-0.8426347,-1.031082
446,13,453.8689,-0.5656554,-1.049855
446,13,454.0911,-0.2948592,-1.064115
446,13,454.3134,-0.02619933,-1.051024
446,13,454.5356,0.226363,-1.042346
446,13,454.7578,0.4648054,-1.069826
446,13,454.98,0.723874,-1.144509
446,13,455.2022,0.9656976,-1.217698
446,13,455.4245,1.222926,-1.290551
446,13,455.6467,1.48103,-1.374713
446,13,455.8689,1.637537,-1.46085
446,13,456.0911,1.728402,-1.619311
446,15,503.9022,0.1665734,-0.0246293
446,15,504.1245,0.1842819,-0.04082479
446,15,504.3467,0.2098598,-0.03829938
446,15,504.5689,0.219408,-0.03015688
446,15,504.7911,0.2096309,-0.0326696
446,15,505.0133,0.1971237,-0.0518178
446,15,505.2356,0.1811968,-0.1046278
446,15,505.4578,0.1355556,-0.2186134
446,15,505.68,0.04514771,-0.3971412
446,15,505.9022,-0.09988917,-0.622037
446,15,506.1245,-0.3095512,-0.8620867
446,15,506.3467,-0.5122478,-1.119642
446,15,506.5689,-0.6764912,-1.362627
446,15,506.7911,-0.7826514,-1.626619
446,15,507.0133,-0.8182569,-1.906023
446,15,507.2356,-0.891758,-2.1893
446,15,507.4578,-0.971701,-2.456832
446,15,507.68,-1.053296,-2.708081
