TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
7,10,-120.551,-155.7204,35.16940000000001, Plant, Bookshelf,70.59152,403,35.16940000000001
12,11,155.7628,10.1685,145.5943, Telescope, Trashcan,20.3504,403,145.5943
14,12,-16.99083,-13.0517,-3.939129999999999, Table, Trashcan,11.22601,403,3.939129999999999
1,13,161.7055,156.9717,4.733800000000002, Well, Telescope,16.94754,403,4.733800000000002
21,14,-123.9511,0.0,-123.9511, Wheelbarrow, Telescope,8.707153,403,123.9511
4,15,-16.40402,-20.9935,4.589480000000002, Mailbox, Wheelbarrow,12.56012,403,4.589480000000002
15,16,-12.52879,-141.7693,129.24050999999997, Plant, Wheelbarrow,12.7605,403,129.24050999999997
18,17,117.3043,146.6573,-29.352999999999994, Stove, Harp,12.91058,403,29.352999999999994
11,18,150.2126,-4.299151,154.511751, Telescope, Harp,18.6322,403,154.511751
19,19,-31.26373,-47.17128,15.907550000000004, Table, Well,7.472839,403,15.907550000000004
2,20,12.52881,8.961795,3.567015, Piano, Well,19.28259,403,3.567015
20,21,-123.9511,-146.2155,22.264399999999995, Trashcan, Mailbox,47.83942,403,22.264399999999995
8,22,-15.70099,-51.54441,35.84342, Bookshelf, Mailbox,17.26398,403,35.84342
3,23,-28.31845,-10.49368,-17.82477, Piano, Chair,18.71527,403,17.82477
5,24,-148.1931,-125.6807,-22.512399999999985, Trashcan, Chair,67.52252,403,22.512399999999985
9,1,124.0806,139.8627,-15.782099999999986, Well, Stove,8.973969,404,15.782099999999986
12,2,-19.74684,-49.85279,30.10595, Wheelbarrow, Stove,7.573196,404,30.10595
10,3,26.56505,-36.09407,62.65912, Mailbox, Piano,14.61192,404,62.65912
6,4,7.86055,-2.913495,10.774045, Harp, Piano,7.473099,404,10.774045
2,5,-90.0,-121.5305,31.530500000000004, Bookshelf, Table,23.91948,404,31.530500000000004
13,6,3.972467,24.73069,-20.758223, Chair, Table,8.473389,404,20.758223
4,7,-143.8361,-156.2066,12.37050000000002, Trashcan, Plant,7.98999,404,12.37050000000002
11,8,120.8524,108.8188,12.033600000000009, Harp, Plant,8.890671,404,12.033600000000009
21,9,163.732,151.2295,12.502499999999998, Stove, Bookshelf,4.236938,404,12.502499999999998
24,10,-147.4042,-155.7204,8.31620000000001, Plant, Bookshelf,14.81161,404,8.31620000000001
14,11,5.259262,10.1685,-4.909238, Telescope, Trashcan,8.240112,404,4.909238
3,12,-4.243902,-13.0517,8.807798, Table, Trashcan,8.039993,404,8.807798
18,13,146.853,156.9717,-10.11869999999999, Well, Telescope,15.34573,404,10.11869999999999
5,14,-143.8361,0.0,-143.8361, Wheelbarrow, Telescope,6.338242,404,143.8361
1,15,15.4146,-20.9935,36.408100000000005, Mailbox, Wheelbarrow,19.98325,404,36.408100000000005
23,16,-107.29,-141.7693,34.47929999999998, Plant, Wheelbarrow,22.30188,404,34.47929999999998
20,17,143.6454,146.6573,-3.011899999999997, Stove, Harp,8.773987,404,3.011899999999997
17,18,-14.33107,-4.299151,-10.031919, Telescope, Harp,9.607819,404,10.031919
22,19,-29.00532,-47.17128,18.16596, Table, Well,14.69537,404,18.16596
15,20,8.28373,8.961795,-0.6780650000000001, Piano, Well,13.97812,404,0.6780650000000001
16,21,166.856,-146.2155,313.0715, Trashcan, Mailbox,9.624695,404,46.928499999999985
19,22,-70.5053,-51.54441,-18.960890000000006, Bookshelf, Mailbox,8.040009,404,18.960890000000006
8,23,-18.55023,-10.49368,-8.05655, Piano, Chair,9.424515,404,8.05655
7,24,-134.382,-125.6807,-8.701300000000003, Trashcan, Chair,5.654556,404,8.701300000000003
16,1,149.7435,139.8627,9.880800000000022, Well, Stove,8.273468,407,9.880800000000022
9,2,-42.97852,-49.85279,6.874269999999996, Wheelbarrow, Stove,5.787933,407,6.874269999999996
8,3,-42.76877,-36.09407,-6.674700000000001, Mailbox, Piano,6.538483,407,6.674700000000001
24,4,-57.45001,-2.913495,-54.536515, Harp, Piano,5.57132,407,54.536515
15,5,-90.45473,-121.5305,31.07577000000001, Bookshelf, Table,8.640472,407,31.07577000000001
20,6,47.62644,24.73069,22.895750000000003, Chair, Table,6.155029,407,22.895750000000003
12,7,-123.2066,-156.2066,33.000000000000014, Trashcan, Plant,13.64468,407,33.000000000000014
6,8,132.7395,108.8188,23.9207, Harp, Plant,6.905548,407,23.9207
2,9,167.6446,151.2295,16.415099999999995, Stove, Bookshelf,5.771576,407,16.415099999999995
4,10,-161.2414,-155.7204,-5.520999999999987, Plant, Bookshelf,6.438568,407,5.520999999999987
5,11,-161.2414,10.1685,-171.4099, Telescope, Trashcan,6.922302,407,171.4099
18,12,8.880622,-13.0517,21.932322, Table, Trashcan,8.707153,407,21.932322
17,13,169.2157,156.9717,12.244, Well, Telescope,4.770477,407,12.244
22,14,-0.8182884,0.0,-0.8182884, Wheelbarrow, Telescope,13.1608,407,0.8182884
23,15,-57.45001,-20.9935,-36.45651, Mailbox, Wheelbarrow,9.941345,407,36.45651
7,16,-179.5058,-141.7693,-37.73650000000001, Plant, Wheelbarrow,13.79486,407,37.73650000000001
13,17,137.375,146.6573,-9.282299999999992, Stove, Harp,5.070587,407,9.282299999999992
1,18,-40.63842,-4.299151,-36.339269, Telescope, Harp,11.09248,407,36.339269
14,19,-39.80553,-47.17128,7.365750000000006, Table, Well,12.07684,407,7.365750000000006
11,20,10.71311,8.961795,1.751315, Piano, Well,8.390045,407,1.751315
3,21,-135.8303,-146.2155,10.385199999999998, Trashcan, Mailbox,10.17505,407,10.385199999999998
19,22,-40.815,-51.54441,10.72941, Bookshelf, Mailbox,7.923218,407,10.72941
21,23,47.62644,-10.49368,58.12012, Piano, Chair,7.672852,407,58.12012
10,24,-111.413,-125.6807,14.267700000000003, Trashcan, Chair,7.873444,407,14.267700000000003
7,1,142.6961,139.8627,2.833400000000012, Well, Stove,8.924072,405,2.833400000000012
12,2,-25.12185,-49.85279,24.73094, Wheelbarrow, Stove,4.587097,405,24.73094
