Subject,Age,Gender,AllowedTime,Order,Center,Top,Target,TargetAngle,EstimateAngle,AngularError,DSP_Trial,targetAngle
610,19,male,60,25,You,piano,harp,0.0,11.0,11.0,dsp1_16,0.09802519
611,19,male,60,8,You,piano,harp,0.0,346.0,14.0,dsp1_16,0.09802519
612,18,male,60,11,You,piano,harp,0.0,347.0,13.0,dsp1_16,0.09802519
613,18,male,60,23,You,piano,harp,0.0,263.0,97.0,dsp1_16,0.09802519
614,19,male,60,1,You,piano,harp,0.0,4.0,4.0,dsp1_16,0.09802519
615,20,male,60,11,You,piano,harp,0.0,117.0,117.0,dsp1_16,0.09802519
616,19,male,60,22,You,piano,harp,0.0,269.0,91.0,dsp1_16,0.09802519
617,19,male,60,7,You,piano,harp,0.0,82.0,82.0,dsp1_16,0.09802519
618,19,male,60,14,You,piano,harp,0.0,270.0,90.0,dsp1_16,0.09802519
619,20,male,60,12,You,piano,harp,0.0,2.0,2.0,dsp1_16,0.09802519
620,18,male,60,12,You,piano,harp,0.0,59.0,59.0,dsp1_16,0.09802519
621,25,female,60,25,You,piano,harp,0.0,28.0,28.0,dsp1_16,0.09802519
622,18,male,60,24,You,piano,harp,0.0,10.0,10.0,dsp1_16,0.09802519
623,19,female,60,16,You,piano,harp,0.0,49.0,49.0,dsp1_16,0.09802519
624,18,female,60,17,You,piano,harp,0.0,304.0,56.0,dsp1_16,0.09802519
625,20,female,60,1,You,piano,harp,0.0,318.0,42.0,dsp1_16,0.09802519
626,18,male,60,2,You,piano,harp,0.0,9.0,9.0,dsp1_16,0.09802519
627,19,male,60,25,You,piano,harp,0.0,215.0,145.0,dsp1_16,0.09802519
628,18,female,60,23,You,piano,harp,0.0,12.0,12.0,dsp1_16,0.09802519
629,20,male,60,23,You,piano,harp,0.0,6.0,6.0,dsp1_16,0.09802519
630,19,female,60,15,You,piano,harp,0.0,28.0,28.0,dsp1_16,0.09802519
631,21,female,60,22,You,piano,harp,0.0,295.0,65.0,dsp1_16,0.09802519
632,18,female,60,9,You,piano,harp,0.0,76.0,76.0,dsp1_16,0.09802519
633,19,female,60,4,You,piano,harp,0.0,13.0,13.0,dsp1_16,0.09802519
634,18,female,60,10,You,piano,harp,0.0,226.0,134.0,dsp1_16,0.09802519
635,18,male,60,4,You,piano,harp,0.0,55.0,55.0,dsp1_16,0.09802519
636,19,female,60,13,You,piano,harp,0.0,61.0,61.0,dsp1_16,0.09802519
637,18,male,60,6,You,piano,harp,0.0,112.0,112.0,dsp1_16,0.09802519
638,20,female,60,10,You,piano,harp,0.0,52.0,52.0,dsp1_16,0.09802519
639,18,female,60,4,You,piano,harp,0.0,224.0,136.0,dsp1_16,0.09802519
641,18,male,60,21,You,piano,harp,0.0,331.0,29.0,dsp1_16,0.09802519
642,19,female,60,17,You,piano,harp,0.0,48.0,48.0,dsp1_16,0.09802519
643,18,female,60,21,You,piano,harp,0.0,149.0,149.0,dsp1_16,0.09802519
645,18,male,60,19,You,piano,harp,0.0,41.0,41.0,dsp1_16,0.09802519
646,18,male,60,26,You,piano,harp,0.0,359.0,1.0,dsp1_16,0.09802519
647,19,female,60,5,You,piano,harp,0.0,345.0,15.0,dsp1_16,0.09802519
648,18,female,60,27,You,piano,harp,0.0,3.0,3.0,dsp1_16,0.09802519
649,20,female,60,23,You,piano,harp,0.0,40.0,40.0,dsp1_16,0.09802519
650,19,female,60,3,You,piano,harp,0.0,15.0,15.0,dsp1_16,0.09802519
651,19,female,60,21,You,piano,harp,0.0,313.0,47.0,dsp1_16,0.09802519
653,20,female,60,17,You,piano,harp,0.0,43.0,43.0,dsp1_16,0.09802519
656,18,female,60,19,You,piano,harp,0.0,172.0,172.0,dsp1_16,0.09802519
657,19,female,60,27,You,piano,harp,0.0,67.0,67.0,dsp1_16,0.09802519
658,19,female,60,24,You,piano,harp,0.0,336.0,24.0,dsp1_16,0.09802519
660,19,male,60,16,You,piano,harp,0.0,40.0,40.0,dsp1_16,0.09802519
662,18,female,60,7,You,piano,harp,0.0,31.0,31.0,dsp1_16,0.09802519
663,18,female,60,11,You,piano,harp,0.0,157.0,157.0,dsp1_16,0.09802519
664,18,female,60,26,You,piano,harp,0.0,44.0,44.0,dsp1_16,0.09802519
665,18,female,60,23,You,piano,harp,0.0,62.0,62.0,dsp1_16,0.09802519
666,18,male,60,27,You,piano,harp,0.0,9.0,9.0,dsp1_16,0.09802519
667,19,male,60,21,You,piano,harp,0.0,257.0,103.0,dsp1_16,0.09802519
668,19,male,60,7,You,piano,harp,0.0,165.0,165.0,dsp1_16,0.09802519
669,18,male,60,25,You,piano,harp,0.0,0.0,0.0,dsp1_16,0.09802519
670,19,male,60,20,You,piano,harp,0.0,196.0,164.0,dsp1_16,0.09802519
640,18,female,60,11,You,piano,harp,0.0,195.0,165.0,dsp1_16,0.09802519
604,20,male,60,5,You,piano,trashcan,312.0,318.0,6.0,new_6,312.313
605,18,male,60,20,You,piano,trashcan,312.0,348.0,36.0,new_6,312.313
606,20,male,60,3,You,piano,trashcan,312.0,355.0,43.0,new_6,312.313
607,20,female,60,5,You,piano,trashcan,312.0,156.0,156.0,new_6,312.313
608,21,male,60,12,You,piano,trashcan,312.0,147.0,165.0,new_6,312.313
609,18,male,60,11,You,piano,trashcan,312.0,303.0,9.0,new_6,312.313
610,19,male,60,23,You,piano,trashcan,312.0,298.0,14.0,new_6,312.313
611,19,male,60,4,You,piano,trashcan,312.0,292.0,20.0,new_6,312.313
612,18,male,60,1,You,piano,trashcan,312.0,325.0,13.0,new_6,312.313
613,18,male,60,12,You,piano,trashcan,312.0,284.0,28.0,new_6,312.313
614,19,male,60,8,You,piano,trashcan,312.0,337.0,25.0,new_6,312.313
615,20,male,60,10,You,piano,trashcan,312.0,221.0,91.0,new_6,312.313
616,19,male,60,7,You,piano,trashcan,312.0,203.0,109.0,new_6,312.313
617,19,male,60,11,You,piano,trashcan,312.0,336.0,24.0,new_6,312.313
618,19,male,60,4,You,piano,trashcan,312.0,117.0,165.0,new_6,312.313
619,20,male,60,21,You,piano,trashcan,312.0,312.0,0.0,new_6,312.313
620,18,male,60,21,You,piano,trashcan,312.0,314.0,2.0,new_6,312.313
621,25,female,60,11,You,piano,trashcan,312.0,21.0,69.0,new_6,312.313
622,18,male,60,15,You,piano,trashcan,312.0,345.0,33.0,new_6,312.313
623,19,female,60,6,You,piano,trashcan,312.0,37.0,85.0,new_6,312.313
624,18,female,60,4,You,piano,trashcan,312.0,337.0,25.0,new_6,312.313
625,20,female,60,11,You,piano,trashcan,312.0,151.0,161.0,new_6,312.313
626,18,male,60,25,You,piano,trashcan,312.0,315.0,3.0,new_6,312.313
627,19,male,60,16,You,piano,trashcan,312.0,135.0,177.0,new_6,312.313
628,18,female,60,16,You,piano,trashcan,312.0,326.0,14.0,new_6,312.313
629,20,male,60,19,You,piano,trashcan,312.0,339.0,27.0,new_6,312.313
630,19,female,60,11,You,piano,trashcan,312.0,331.0,19.0,new_6,312.313
631,21,female,60,10,You,piano,trashcan,312.0,329.0,17.0,new_6,312.313
632,18,female,60,24,You,piano,trashcan,312.0,126.0,174.0,new_6,312.313
633,19,female,60,1,You,piano,trashcan,312.0,338.0,26.0,new_6,312.313
634,18,female,60,16,You,piano,trashcan,312.0,70.0,118.0,new_6,312.313
635,18,male,60,2,You,piano,trashcan,312.0,337.0,25.0,new_6,312.313
636,19,female,60,3,You,piano,trashcan,312.0,342.0,30.0,new_6,312.313
637,18,male,60,19,You,piano,trashcan,312.0,300.0,12.0,new_6,312.313
638,20,female,60,23,You,piano,trashcan,312.0,330.0,18.0,new_6,312.313
639,18,female,60,12,You,piano,trashcan,312.0,133.0,179.0,new_6,312.313
641,18,male,60,1,You,piano,trashcan,312.0,300.0,12.0,new_6,312.313
642,19,female,60,21,You,piano,trashcan,312.0,324.0,12.0,new_6,312.313
643,18,female,60,11,You,piano,trashcan,312.0,18.0,66.0,new_6,312.313
645,18,male,60,12,You,piano,trashcan,312.0,315.0,3.0,new_6,312.313
646,18,male,60,4,You,piano,trashcan,312.0,351.0,39.0,new_6,312.313
647,19,female,60,16,You,piano,trashcan,312.0,331.0,19.0,new_6,312.313
648,18,female,60,26,You,piano,trashcan,312.0,327.0,15.0,new_6,312.313
649,20,female,60,4,You,piano,trashcan,312.0,343.0,31.0,new_6,312.313
650,19,female,60,25,You,piano,trashcan,312.0,306.0,6.0,new_6,312.313
651,19,female,60,22,You,piano,trashcan,312.0,341.0,29.0,new_6,312.313
653,20,female,60,9,You,piano,trashcan,312.0,311.0,1.0,new_6,312.313
656,18,female,60,23,You,piano,trashcan,312.0,22.0,70.0,new_6,312.313
657,19,female,60,16,You,piano,trashcan,312.0,334.0,22.0,new_6,312.313
658,19,female,60,1,You,piano,trashcan,312.0,305.0,7.0,new_6,312.313
660,19,male,60,7,You,piano,trashcan,312.0,330.0,18.0,new_6,312.313
662,18,female,60,8,You,piano,trashcan,312.0,311.0,1.0,new_6,312.313
663,18,female,60,25,You,piano,trashcan,312.0,349.0,37.0,new_6,312.313
664,18,female,60,23,You,piano,trashcan,312.0,341.0,29.0,new_6,312.313
665,18,female,60,9,You,piano,trashcan,312.0,22.0,70.0,new_6,312.313
666,18,male,60,8,You,piano,trashcan,312.0,334.0,22.0,new_6,312.313
667,19,male,60,6,You,piano,trashcan,312.0,14.0,62.0,new_6,312.313
668,19,male,60,23,You,piano,trashcan,312.0,336.0,24.0,new_6,312.313
669,18,male,60,13,You,piano,trashcan,312.0,334.0,22.0,new_6,312.313
670,19,male,60,17,You,piano,trashcan,312.0,330.0,18.0,new_6,312.313
640,18,female,60,17,You,piano,trashcan,312.0,273.0,39.0,new_6,312.313
604,20,male,60,6,You,wheelbarrow,stove,308.0,43.0,95.0,dsp1_22,46.32060338
605,18,male,60,12,You,wheelbarrow,stove,308.0,39.0,91.0,dsp1_22,46.32060338
606,20,male,60,22,You,wheelbarrow,stove,308.0,121.0,173.0,dsp1_22,46.32060338
607,20,female,60,9,You,wheelbarrow,stove,308.0,259.0,49.0,dsp1_22,46.32060338
608,21,male,60,24,You,wheelbarrow,stove,308.0,31.0,83.0,dsp1_22,46.32060338
609,18,male,60,18,You,wheelbarrow,stove,308.0,50.0,102.0,dsp1_22,46.32060338
